Date,Year,Month,Season,Crop,Region,Previous_Price,Rainfall_mm,Supply_tonnes,Demand_tonnes,Temperature_C,Humidity_Percent,Market_Distance_km,Current_Price
2020-01-01,2020,1,Winter,Cauliflower,Chittagong,,39.5,4731.0,6092.0,18.2,59.0,84.2,21.37
2020-01-01,2020,1,Winter,Tomato,Mymensingh,40.78,38.8,4053.0,4925.0,23.3,61.4,26.4,44.59
2020-01-01,2020,1,Winter,Cauliflower,Chittagong,15.0,36.7,2288.0,2552.0,19.3,57.1,29.8,15.0
2020-01-01,2020,1,Winter,Eggplant,Barisal,45.7,69.0,2587.0,2792.0,19.2,55.1,39.3,42.57
2020-01-01,2020,1,Winter,Cabbage,Khulna,10.0,20.8,5377.0,6556.0,22.4,63.9,119.0,11.65
2020-01-02,2020,1,Winter,Tomato,Mymensingh,35.89,77.0,1391.0,1746.0,17.8,66.9,105.9,38.16
2020-01-02,2020,1,Winter,Wheat,Dhaka,86.38,67.8,1121.0,1060.0,20.6,50.4,126.5,86.9
2020-01-03,2020,1,Winter,Potato,Mymensingh,48.4,17.6,4692.0,3527.0,16.9,47.4,132.6,50.0
2020-01-03,2020,1,Winter,Wheat,Chittagong,90.0,71.4,3806.0,4060.0,24.4,64.2,36.0,89.07
2020-01-03,2020,1,Winter,Onion,Chittagong,55.05,29.1,2461.0,3149.0,21.0,52.5,134.3,58.46
2020-01-04,2020,1,Winter,Rice,Dhaka,110.0,31.4,4620.0,4809.0,18.7,47.1,30.0,110.0
2020-01-05,2020,1,Winter,Eggplant,Dhaka,38.72,57.1,2918.0,3610.0,22.0,67.9,83.0,44.16
2020-01-05,2020,1,Winter,Potato,Rangpur,25.49,56.0,2175.0,2578.0,15.7,73.3,31.0,30.1
2020-01-05,2020,1,Winter,Tomato,Khulna,70.32,17.7,4432.0,4893.0,20.8,52.9,21.8,68.5
2020-01-06,2020,1,Winter,Wheat,Mymensingh,90.0,77.8,1988.0,1568.0,21.8,70.7,112.9,89.39
2020-01-06,2020,1,Winter,Wheat,Dhaka,86.65,63.8,4608.0,4647.0,15.4,45.8,137.2,89.53
2020-01-06,2020,1,Winter,Tomato,Sylhet,84.8,30.4,5188.0,5022.0,17.3,59.9,41.3,84.2
2020-01-07,2020,1,Winter,Onion,Dhaka,37.46,55.0,1616.0,1474.0,23.1,70.2,121.6,38.82
2020-01-08,2020,1,Winter,Cabbage,Mymensingh,10.72,56.7,1248.0,1391.0,16.8,55.5,30.6,10.0
2020-01-09,2020,1,Winter,Potato,Rajshahi,28.1,30.5,3271.0,3369.0,23.6,73.0,106.4,31.97
2020-01-09,2020,1,Winter,Onion,Mymensingh,44.34,73.8,1609.0,1442.0,19.0,62.2,69.9,43.52
2020-01-09,2020,1,Winter,Cabbage,Rajshahi,10.0,19.1,4027.0,4148.0,20.1,71.8,104.5,13.19
2020-01-11,2020,1,Winter,Eggplant,Sylhet,34.09,66.4,5452.0,5666.0,23.9,63.8,82.3,37.63
2020-01-11,2020,1,Winter,Eggplant,Rajshahi,68.04,43.0,4122.0,4613.0,NULL,65.1,125.5,70.0
2020-01-11,2020,1,Winter,Cauliflower,Mymensingh,17.79,58.1,3299.0,3515.0,16.2,56.9,96.8,16.08
2020-01-11,2020,1,Winter,Cabbage,Rajshahi,13.3,53.7,1338.0,1533.0,16.6,70.0,99.1,15.08
2020-01-11,2020,1,Winter,Eggplant,Mymensingh,39.83,66.6,3274.0,3700.0,22.8,67.3,102.0,37.76
2020-01-12,2020,1,Winter,Tomato,Khulna,27.49,65.6,3501.0,3108.0,21.5,54.7,107.8,28.88
2020-01-12,2020,1,Winter,Cauliflower,Dhaka,18.03,34.8,4644.0,5967.0,22.7,45.6,107.1,18.03
2020-01-12,2020,1,Winter,Cabbage,Sylhet,14.23,46.5,3887.0,3714.0,22.4,65.5,46.2,11.53
2020-01-12,2020,1,Winter,Cabbage,Barisal,10.0,72.6,3977.0,3965.0,24.7,66.6,12.3,10.33
2020-01-12,2020,1,Winter,Rice,Dhaka,107.02,30.6,1199.0,1352.0,17.5,55.8,95.4,106.32
2020-01-12,2020,1,Winter,Wheat,Rajshahi,90.0,55.2,4830.0,5247.0,24.1,46.5,52.0,90.0
2020-01-12,2020,1,Winter,Rice,Rajshahi,110.0,78.5,1668.0,2136.0,19.5,57.1,60.8,109.23
2020-01-13,2020,1,Winter,Potato,Khulna,45.58,77.0,1535.0,1808.0,22.3,50.1,56.1,49.39
2020-01-13,2020,1,Winter,Tomato,Sylhet,25.32,60.6,3140.0,3851.0,18.7,70.9,47.2,30.16
2020-01-14,2020,1,Winter,Potato,Rangpur,25,20.9,5312.0,4791.0,15.9,47.9,127.9,25.78
2020-01-14,2020,1,winter,Potato,Mymensingh,30.88,14.9,4164.0,4226.0,21.5,67.0,29.7,29.56
2020-01-14,2020,1,Winter,Tomato,Khulna,40.21,31.5,2234.0,2516.0,18.2,73.9,100.2,43.1
2020-01-14,2020,1,Winter,Eggplant,Dhaka,32.69,15.5,1282.0,1303.0,18.1,65.5,26.8,29.32
2020-01-14,2020,1,Winter,Cauliflower,Barisal,15.0,23.7,4145.0,4858.0,21.4,54.7,10.9,15.0
2020-01-16,2020,1,Winter,Onion,Barisal,53.03,63.7,4462.0,3899.0,16.2,59.9,67.4,52.82
2020-01-17,2020,1,Winter,Cabbage,Chittagong,19.06,39.6,1682.0,1249.0,18.8,66.9,19.9,16.85
2020-01-17,2020,1,Winter,Onion,Rajshahi,20.0,71.0,2069.0,1691.0,19.7,59.5,32.1,20.2
2020-01-17,2020,1,Winter,Onion,Barisal,43.07,66.8,3033.0,3646.0,21.4,46.7,52.2,45.54
2020-01-17,2020,1,Winter,Eggplant,Chittagong,34.19,19.4,4513.0,3916.0,22.9,52.5,13.2,37.66
2020-01-17,2020,1,Winter,Wheat,Rajshahi,90.0,15.1,5001.0,6441.0,22.0,72.4,60.9,90.0
