crop,region,season,rainfall,temperature,previous_price,price
Rice,North,Summer,320,29,48,52
Rice,North,Summer,310,30,50,53
Rice,North,Winter,280,21,47,49
Rice,South,Summer,350,31,,55
Rice,South,Winter,300,22,51,52
Wheat,North,Winter,180,18,40,42
Wheat,North,Winter,200,19,,44
Wheat,South,Winter,210,20,42,45
Wheat,South,Summer,230,26,43,46
Wheat,East,Summer,240,27,41,47
Corn,East,Summer,400,33,60,64
Corn,East,Summer,390,34,,63
Corn,South,Summer,420,32,62,65
Corn,South,Winter,350,24,58,60
Corn,West,Summer,410,35,61,66
Soybean,East,Summer,260,28,55,57
Soybean,East,Winter,220,22,53,54
Soybean,South,Summer,280,29,,56
Soybean,South,Winter,250,21,52,53
Soybean,North,Summer,270,30,54,58
Rice,East,Summer,330,31,49,54
Rice,East,Winter,290,23,48,50
Wheat,West,Winter,190,17,39,41
Wheat,West,Summer,210,25,40,43
Corn,North,Summer,405,34,,65
Corn,North,Winter,360,23,59,61
Soybean,West,Summer,275,27,56,59
Soybean,West,Winter,230,20,,52
Rice,West,Summer,340,33,50,55
Wheat,South,Winter,205,18,41,44
